,zipcode,Adjusted Gross Income,Number of returns,Single Returns,Joint Returns,Head of Household Returns,Elderly Returns (60+),borough,landuse_1.0,landuse_2.0,landuse_3.0,landuse_4.0,landuse_5.0,landuse_6.0,landuse_7.0,landuse_8.0,landuse_9.0,landuse_10.0,landuse_11.0,total_bldgarea
62,10010.0,"$200,000+",4200,1890,2120,110,710,MN,35514.0,672590.0,7208438.0,14282773.0,16631743.0,4447.0,65745.0,5294529.0,20206.0,84013.0,0.0,44299998.0
63,10011.0,total,"30,190","22,290","5,840","1,270","6,350",MN,1030097.0,4460438.0,13986163.0,18160095.0,16200569.0,630092.0,402492.0,4289776.0,3173.0,78016.0,0.0,59240911.0
64,10011.0,"< $25,000",4840,4070,290,360,1270,MN,1030097.0,4460438.0,13986163.0,18160095.0,16200569.0,630092.0,402492.0,4289776.0,3173.0,78016.0,0.0,59240911.0
65,10011.0,"$25,000 - $49,999",3560,2870,300,290,790,MN,1030097.0,4460438.0,13986163.0,18160095.0,16200569.0,630092.0,402492.0,4289776.0,3173.0,78016.0,0.0,59240911.0
66,10011.0,"$50,000 - $74,999",3570,3050,270,160,790,MN,1030097.0,4460438.0,13986163.0,18160095.0,16200569.0,630092.0,402492.0,4289776.0,3173.0,78016.0,0.0,59240911.0
67,10011.0,"$75,000 -  $99,999",3110,2620,300,90,680,MN,1030097.0,4460438.0,13986163.0,18160095.0,16200569.0,630092.0,402492.0,4289776.0,3173.0,78016.0,0.0,59240911.0
68,10011.0,"$100,000 - $199,999",7070,5520,1150,180,1440,MN,1030097.0,4460438.0,13986163.0,18160095.0,16200569.0,630092.0,402492.0,4289776.0,3173.0,78016.0,0.0,59240911.0
69,10011.0,"$200,000+",8040,4160,3530,190,1380,MN,1030097.0,4460438.0,13986163.0,18160095.0,16200569.0,630092.0,402492.0,4289776.0,3173.0,78016.0,0.0,59240911.0
70,10012.0,total,"12,540","9,330","2,420",450,"2,280",MN,140944.0,1454433.0,4583977.0,12232984.0,7086697.0,0.0,2303.0,5400219.0,825.0,81080.0,0.0,30983462.0
71,10012.0,"< $25,000",2240,1850,210,120,560,MN,140944.0,1454433.0,4583977.0,12232984.0,7086697.0,0.0,2303.0,5400219.0,825.0,81080.0,0.0,30983462.0
72,10012.0,"$25,000 - $49,999",1660,1360,160,90,290,MN,140944.0,1454433.0,4583977.0,12232984.0,7086697.0,0.0,2303.0,5400219.0,825.0,81080.0,0.0,30983462.0
73,10012.0,"$50,000 - $74,999",1680,1430,160,50,250,MN,140944.0,1454433.0,4583977.0,12232984.0,7086697.0,0.0,2303.0,5400219.0,825.0,81080.0,0.0,30983462.0
74,10012.0,"$75,000 -  $99,999",1420,1210,140,40,210,MN,140944.0,1454433.0,4583977.0,12232984.0,7086697.0,0.0,2303.0,5400219.0,825.0,81080.0,0.0,30983462.0
75,10012.0,"$100,000 - $199,999",2820,2110,550,70,470,MN,140944.0,1454433.0,4583977.0,12232984.0,7086697.0,0.0,2303.0,5400219.0,825.0,81080.0,0.0,30983462.0
76,10012.0,"$200,000+",2720,1370,1200,80,500,MN,140944.0,1454433.0,4583977.0,12232984.0,7086697.0,0.0,2303.0,5400219.0,825.0,81080.0,0.0,30983462.0
77,10013.0,total,"15,140","9,350","4,530",810,"2,790",MN,199914.0,1231035.0,5784896.0,128819427.0,19361171.0,1078964.0,277723.0,3916390.0,20783.0,252788.0,0.0,160943091.0
78,10013.0,"< $25,000",4180,2920,860,290,1080,MN,199914.0,1231035.0,5784896.0,128819427.0,19361171.0,1078964.0,277723.0,3916390.0,20783.0,252788.0,0.0,160943091.0
79,10013.0,"$25,000 - $49,999",2020,1340,470,150,370,MN,199914.0,1231035.0,5784896.0,128819427.0,19361171.0,1078964.0,277723.0,3916390.0,20783.0,252788.0,0.0,160943091.0
80,10013.0,"$50,000 - $74,999",1620,1290,170,110,220,MN,199914.0,1231035.0,5784896.0,128819427.0,19361171.0,1078964.0,277723.0,3916390.0,20783.0,252788.0,0.0,160943091.0
81,10013.0,"$75,000 -  $99,999",1180,910,170,60,190,MN,199914.0,1231035.0,5784896.0,128819427.0,19361171.0,1078964.0,277723.0,3916390.0,20783.0,252788.0,0.0,160943091.0
82,10013.0,"$100,000 - $199,999",2150,1540,470,70,390,MN,199914.0,1231035.0,5784896.0,128819427.0,19361171.0,1078964.0,277723.0,3916390.0,20783.0,252788.0,0.0,160943091.0
83,10013.0,"$200,000+",3990,1350,2390,130,540,MN,199914.0,1231035.0,5784896.0,128819427.0,19361171.0,1078964.0,277723.0,3916390.0,20783.0,252788.0,0.0,160943091.0
84,10014.0,total,"18,720","14,280","3,440",500,"3,800",MN,1503940.0,4724791.0,7564670.0,8135338.0,10296532.0,212209.0,482962.0,1257432.0,54398.0,255804.0,0.0,34488076.0
85,10014.0,"< $25,000",2650,2330,140,80,860,MN,1503940.0,4724791.0,7564670.0,8135338.0,10296532.0,212209.0,482962.0,1257432.0,54398.0,255804.0,0.0,34488076.0
86,10014.0,"$25,000 - $49,999",2060,1790,120,70,470,MN,1503940.0,4724791.0,7564670.0,8135338.0,10296532.0,212209.0,482962.0,1257432.0,54398.0,255804.0,0.0,34488076.0
87,10014.0,"$50,000 - $74,999",2250,1950,170,70,450,MN,1503940.0,4724791.0,7564670.0,8135338.0,10296532.0,212209.0,482962.0,1257432.0,54398.0,255804.0,0.0,34488076.0
88,10014.0,"$75,000 -  $99,999",2050,1760,170,70,440,MN,1503940.0,4724791.0,7564670.0,8135338.0,10296532.0,212209.0,482962.0,1257432.0,54398.0,255804.0,0.0,34488076.0
89,10014.0,"$100,000 - $199,999",4720,3730,770,110,860,MN,1503940.0,4724791.0,7564670.0,8135338.0,10296532.0,212209.0,482962.0,1257432.0,54398.0,255804.0,0.0,34488076.0
90,10014.0,"$200,000+",4990,2720,2070,100,720,MN,1503940.0,4724791.0,7564670.0,8135338.0,10296532.0,212209.0,482962.0,1257432.0,54398.0,255804.0,0.0,34488076.0
