"ZIP
code",Adjusted Gross Income,Number of returns,Single Returns,Joint Returns,Head of Household Returns,Elderly Returns (60+)
10030,"< $25,000",6240,4010,350,1800,760
10030,"$25,000 - $49,999",3810,2230,310,1190,410
10030,"$50,000 - $74,999",1890,1170,160,510,230
10030,"$75,000 -  $99,999",900,520,140,200,110
10030,"$100,000 - $199,999",790,400,220,150,110
10030,"$200,000+",240,70,140,** ,40
,,,,,,
10031,total,"29,540","19,210","3,600","6,150","4,070"
10031,"< $25,000",13130,9430,960,2550,2050
10031,"$25,000 - $49,999",8130,5090,870,2030,890
10031,"$50,000 - $74,999",4300,2700,520,950,510
10031,"$75,000 -  $99,999",1810,1030,340,370,270
10031,"$100,000 - $199,999",1720,820,630,230,270
10031,"$200,000+",450,140,280,20,80
,,,,,,
10032,total,"29,450","18,750","3,890","6,310","4,690"
10032,"< $25,000",13660,9780,1110,2610,2530
10032,"$25,000 - $49,999",8030,4900,920,2060,950
10032,"$50,000 - $74,999",4100,2380,580,1030,530
10032,"$75,000 -  $99,999",1700,920,380,350,280
10032,"$100,000 - $199,999",1580,680,630,240,290
10032,"$200,000+",380,90,270,20,110
,,,,,,
10033,total,"27,200","16,410","4,600","5,660","4,840"
10033,"< $25,000",12250,8610,1080,2410,2380
10033,"$25,000 - $49,999",6910,3990,910,1860,890
10033,"$50,000 - $74,999",3560,2070,560,830,570
10033,"$75,000 -  $99,999",1630,850,430,290,300
10033,"$100,000 - $199,999",2110,750,1060,240,510
10033,"$200,000+",740,140,560,30,190
,,,,,,
10034,total,"20,010","11,630","3,330","4,660","3,520"
10034,"< $25,000",8730,5820,790,2000,1730
10034,"$25,000 - $49,999",4980,2750,620,1520,640
10034,"$50,000 - $74,999",2870,1620,470,690,450
10034,"$75,000 -  $99,999",1420,760,360,260,260
10034,"$100,000 - $199,999",1620,610,800,190,350
10034,"$200,000+",390,70,290,** ,90
,,,,,,
10035,total,"15,420","9,040","1,990","4,100","1,900"
10035,"< $25,000",6810,4410,510,1820,870
10035,"$25,000 - $49,999",4050,2130,440,1410,500
10035,"$50,000 - $74,999",2090,1240,260,530,230
10035,"$75,000 -  $99,999",950,570,150,180,120
10035,"$100,000 - $199,999",1130,560,400,140,130
10035,"$200,000+",390,130,230,20,50
,,,,,,
10036,total,"18,920","13,910","3,320","1,130","3,150"
10036,"< $25,000",4380,3600,360,290,1120
10036,"$25,000 - $49,999",3060,2330,300,330,490
10036,"$50,000 - $74,999",2560,2040,260,200,320
10036,"$75,000 -  $99,999",2010,1610,220,110,260
10036,"$100,000 - $199,999",3970,2950,800,120,420
10036,"$200,000+",2940,1380,1380,80,540
,,,,,,
10037,total,"10,680","6,520","1,000","2,920","2,150"
10037,"< $25,000",3780,2520,200,1010,770
10037,"$25,000 - $49,999",2820,1600,200,970,510
