"ZIP
code",Adjusted Gross Income,Number of returns,Single Returns,Joint Returns,Head of Household Returns,Elderly Returns (60+)
13061,"$200,000+",20,** ,** ,0,** 
,,,,,,
13063,total,880,370,430,60,240
13063,"< $25,000",240,190,30,** ,50
13063,"$25,000 - $49,999",190,100,60,40,50
13063,"$50,000 - $74,999",150,50,80,20,70
13063,"$75,000 -  $99,999",90,30,60,** ,** 
13063,"$100,000 - $199,999",180,** ,170,** ,70
13063,"$200,000+",30,** ,30,0,** 
,,,,,,
13066,total,"6,660","3,260","2,860",420,"2,560"
13066,"< $25,000",1710,1470,120,90,410
13066,"$25,000 - $49,999",1070,740,200,110,380
13066,"$50,000 - $74,999",850,460,270,100,360
13066,"$75,000 -  $99,999",650,240,340,40,330
13066,"$100,000 - $199,999",1460,250,1130,80,670
13066,"$200,000+",920,100,800,** ,410
,,,,,,
13068,total,"2,590","1,260",970,280,650
13068,"< $25,000",800,590,90,110,160
13068,"$25,000 - $49,999",670,390,140,110,120
13068,"$50,000 - $74,999",430,180,190,40,130
13068,"$75,000 -  $99,999",280,50,200,20,90
13068,"$100,000 - $199,999",350,50,300,** ,120
13068,"$200,000+",60,** ,50,0,30
,,,,,,
13069,total,"10,670","4,980","3,920","1,560","2,540"
13069,"< $25,000",4100,2750,560,730,860
13069,"$25,000 - $49,999",2840,1400,770,570,620
13069,"$50,000 - $74,999",1590,550,820,180,410
13069,"$75,000 -  $99,999",980,170,750,50,280
13069,"$100,000 - $199,999",1020,110,900,30,330
13069,"$200,000+",140,** ,120,** ,40
,,,,,,
13071,total,460,190,190,50,130
13071,"< $25,000",160,110,30,** ,40
13071,"$25,000 - $49,999",110,50,30,50,30
13071,"$50,000 - $74,999",70,30,40,** ,20
13071,"$75,000 -  $99,999",60,** ,40,** ,20
13071,"$100,000 - $199,999",60,** ,50,** ,20
13071,"$200,000+",** ,** ,** ,** ,** 
,,,,,,
13072,total,370,180,140,40,90
13072,"< $25,000",130,80,30,40,30
13072,"$25,000 - $49,999",120,70,40,** ,30
13072,"$50,000 - $74,999",60,30,30,** ,30
13072,"$75,000 -  $99,999",30,** ,20,** ,** 
13072,"$100,000 - $199,999",30,** ,20,0,** 
13072,"$200,000+",** ,** ,** ,** ,** 
,,,,,,
13073,total,"3,040","1,460","1,240",310,780
13073,"< $25,000",990,730,130,120,230
13073,"$25,000 - $49,999",820,470,210,120,180
13073,"$50,000 - $74,999",480,180,240,50,140
13073,"$75,000 -  $99,999",330,50,270,20,100
13073,"$100,000 - $199,999",370,30,340,** ,130
13073,"$200,000+",50,** ,50,0,** 
,,,,,,
13074,total,"1,850",830,770,250,480
13074,"< $25,000",680,440,110,120,150
13074,"$25,000 - $49,999",490,240,160,90,120
13074,"$50,000 - $74,999",280,100,160,40,90
13074,"$75,000 -  $99,999",180,30,150,** ,50
13074,"$100,000 - $199,999",220,20,190,** ,70
13074,"$200,000+",** ,** ,** ,** ,** 
,,,,,,
13076,total,"1,080",480,460,120,210
13076,"< $25,000",310,230,40,40,70
13076,"$25,000 - $49,999",310,160,90,50,50
13076,"$50,000 - $74,999",170,60,80,30,40
13076,"$75,000 -  $99,999",130,30,110,** ,30
13076,"$100,000 - $199,999",160,** ,140,** ,20
13076,"$200,000+",** ,** ,** ,** ,** 
,,,,,,
13077,total,"3,310","1,620","1,230",400,910
13077,"< $25,000",1110,840,120,130,260
13077,"$25,000 - $49,999",860,460,200,180,210
13077,"$50,000 - $74,999",530,220,240,60,170
13077,"$75,000 -  $99,999",350,60,260,30,110
13077,"$100,000 - $199,999",400,40,350,** ,130
13077,"$200,000+",60,** ,60,** ,30
,,,,,,
13078,total,"4,620","2,040","2,210",300,"1,630"
13078,"< $25,000",1200,980,110,90,270
13078,"$25,000 - $49,999",740,480,170,80,230
13078,"$50,000 - $74,999",540,260,220,50,230
13078,"$75,000 -  $99,999",490,130,300,40,220
13078,"$100,000 - $199,999",950,120,790,40,390
13078,"$200,000+",700,70,620,** ,290
,,,,,,
13080,total,"1,670",770,700,170,460
13080,"< $25,000",510,400,60,40,140
13080,"$25,000 - $49,999",430,220,120,80,100
13080,"$50,000 - $74,999",280,100,140,50,90
13080,"$75,000 -  $99,999",190,50,150,** ,70
13080,"$100,000 - $199,999",230,** ,210,** ,60
13080,"$200,000+",30,** ,20,0,** 
,,,,,,
13081,total,510,250,220,40,170
13081,"< $25,000",150,110,20,** ,40
13081,"$25,000 - $49,999",120,70,30,40,30
13081,"$50,000 - $74,999",80,40,40,** ,30
13081,"$75,000 -  $99,999",60,30,50,** ,30
13081,"$100,000 - $199,999",100,** ,80,0,40
13081,"$200,000+",** ,** ,** ,** ,** 
,,,,,,
13082,total,"2,280","1,110",910,260,680
13082,"< $25,000",770,570,110,80,220
13082,"$25,000 - $49,999",590,340,130,110,150
13082,"$50,000 - $74,999",340,130,170,40,120
13082,"$75,000 -  $99,999",240,40,190,30,80
13082,"$100,000 - $199,999",310,30,280,** ,110
13082,"$200,000+",30,** ,30,** ,** 
,,,,,,
13083,total,800,350,340,80,170
13083,"< $25,000",270,200,40,30,50
13083,"$25,000 - $49,999",190,90,60,50,40
13083,"$50,000 - $74,999",140,60,80,** ,50
13083,"$75,000 -  $99,999",90,** ,70,** ,** 
13083,"$100,000 - $199,999",110,** ,90,** ,30
13083,"$200,000+",** ,** ,** ,** ,** 
,,,,,,
13084,total,"2,210","1,040",930,220,640
13084,"< $25,000",600,470,60,60,130
13084,"$25,000 - $49,999",520,310,120,80,130
13084,"$50,000 - $74,999",380,160,170,50,130
13084,"$75,000 -  $99,999",240,60,160,30,80
13084,"$100,000 - $199,999",380,40,340,** ,130
13084,"$200,000+",90,** ,80,** ,40
,,,,,,
13088,total,"11,920","6,670","3,770","1,260","3,580"
13088,"< $25,000",3640,2810,420,380,1040
13088,"$25,000 - $49,999",3410,2170,600,550,860
13088,"$50,000 - $74,999",2100,1110,720,220,630
13088,"$75,000 -  $99,999",1210,340,760,80,450
13088,"$100,000 - $199,999",1370,210,1120,30,520
13088,"$200,000+",190,30,150,** ,80
,,,,,,
13090,total,"15,650","7,820","5,800","1,710","3,730"
13090,"< $25,000",4670,3710,410,500,910
13090,"$25,000 - $49,999",3720,2230,720,660,750
13090,"$50,000 - $74,999",2480,1190,880,330,630
13090,"$75,000 -  $99,999",1720,410,1110,140,530
13090,"$100,000 - $199,999",2610,240,2280,80,760
13090,"$200,000+",450,40,400,** ,150
,,,,,,
13092,total,"1,120",500,470,130,300
13092,"< $25,000",380,250,70,50,100
13092,"$25,000 - $49,999",320,150,100,60,70
13092,"$50,000 - $74,999",160,70,80,20,70
13092,"$75,000 -  $99,999",130,30,100,** ,30
13092,"$100,000 - $199,999",130,** ,120,** ,30
13092,"$200,000+",** ,** ,** ,** ,** 
,,,,,,
13101,total,"1,230",560,450,180,280
13101,"< $25,000",430,290,50,70,90
13101,"$25,000 - $49,999",360,180,90,80,70
13101,"$50,000 - $74,999",210,60,120,30,40
13101,"$75,000 -  $99,999",120,30,100,** ,40
13101,"$100,000 - $199,999",110,** ,90,0,40
13101,"$200,000+",** ,** ,** ,** ,** 
,,,,,,
13103,total,130,50,50,40,30
13103,"< $25,000",60,50,20,** ,30
13103,"$25,000 - $49,999",40,** ,** ,40,** 
13103,"$50,000 - $74,999",30,** ,30,** ,** 
13103,"$75,000 -  $99,999",** ,** ,** ,** ,** 
13103,"$100,000 - $199,999",** ,** ,** ,** ,** 
13103,"$200,000+",0,0,0,0,0
,,,,,,
13104,total,"7,730","3,370","3,720",500,"2,340"
13104,"< $25,000",2050,1770,140,120,420
13104,"$25,000 - $49,999",1110,700,230,140,310
13104,"$50,000 - $74,999",890,410,350,100,330
13104,"$75,000 -  $99,999",700,220,410,50,290
13104,"$100,000 - $199,999",1740,190,1470,60,590
13104,"$200,000+",1240,80,1120,30,400
,,,,,,
13108,total,"3,150","1,470","1,390",210,"1,040"
13108,"< $25,000",890,740,90,60,210
13108,"$25,000 - $49,999",630,390,140,70,190
13108,"$50,000 - $74,999",430,190,190,40,170
13108,"$75,000 -  $99,999",350,80,230,20,140
13108,"$100,000 - $199,999",690,70,600,20,260
13108,"$200,000+",160,** ,140,** ,70
,,,,,,
13110,total,"1,150",550,510,70,380
13110,"< $25,000",310,240,40,30,80
13110,"$25,000 - $49,999",260,160,70,20,80
13110,"$50,000 - $74,999",190,90,90,20,70
13110,"$75,000 -  $99,999",150,40,100,** ,50
13110,"$100,000 - $199,999",190,20,160,** ,80
13110,"$200,000+",50,** ,50,** ,20
,,,,,,
13111,total,700,310,280,100,170
13111,"< $25,000",270,170,60,40,60
13111,"$25,000 - $49,999",190,90,60,60,50
13111,"$50,000 - $74,999",120,50,60,** ,30
13111,"$75,000 -  $99,999",60,** ,50,** ,30
13111,"$100,000 - $199,999",60,** ,50,** ,** 
13111,"$200,000+",** ,** ,** ,** ,** 
,,,,,,
13112,total,960,450,400,70,280
13112,"< $25,000",300,230,40,20,80
13112,"$25,000 - $49,999",210,120,50,30,50
13112,"$50,000 - $74,999",160,70,70,20,50
13112,"$75,000 -  $99,999",100,30,80,** ,40
13112,"$100,000 - $199,999",160,** ,140,** ,60
13112,"$200,000+",30,** ,20,0,** 
,,,,,,
13114,total,"2,980","1,330","1,220",400,740
13114,"< $25,000",1020,710,140,170,230
13114,"$25,000 - $49,999",710,360,210,130,180
13114,"$50,000 - $74,999",460,160,220,70,130
13114,"$75,000 -  $99,999",300,50,230,30,80
13114,"$100,000 - $199,999",420,50,370,** ,120
13114,"$200,000+",70,** ,50,** ,** 
,,,,,,
13116,total,"1,760",800,710,210,480
13116,"< $25,000",520,400,60,60,150
13116,"$25,000 - $49,999",420,250,90,80,100
13116,"$50,000 - $74,999",280,90,120,40,70
13116,"$75,000 -  $99,999",220,40,160,30,80
13116,"$100,000 - $199,999",290,20,260,** ,80
13116,"$200,000+",30,** ,20,0,** 
,,,,,,
13118,total,"2,350","1,050",980,300,640
13118,"< $25,000",760,520,120,120,200
13118,"$25,000 - $49,999",620,320,170,120,140
13118,"$50,000 - $74,999",390,140,210,40,110
13118,"$75,000 -  $99,999",260,40,200,20,80
13118,"$100,000 - $199,999",290,30,260,** ,110
13118,"$200,000+",30,** ,20,** ,** 
,,,,,,
13120,total,"1,090",530,300,220,290
13120,"< $25,000",430,280,40,100,90
13120,"$25,000 - $49,999",310,150,70,80,80
13120,"$50,000 - $74,999",170,70,70,20,50
13120,"$75,000 -  $99,999",100,30,60,20,40
13120,"$100,000 - $199,999",80,** ,60,** ,30
13120,"$200,000+",** ,** ,** ,** ,** 
,,,,,,
13122,total,530,250,220,50,140
13122,"< $25,000",170,140,** ,** ,30
13122,"$25,000 - $49,999",120,70,50,50,30
13122,"$50,000 - $74,999",90,20,50,** ,50
13122,"$75,000 -  $99,999",60,20,40,** ,** 
13122,"$100,000 - $199,999",90,** ,80,** ,30
13122,"$200,000+",** ,** ,** ,** ,** 
,,,,,,
13126,total,"14,260","7,110","5,180","1,720","3,930"
13126,"< $25,000",5190,3730,570,830,1030
13126,"$25,000 - $49,999",3230,1800,770,570,880
13126,"$50,000 - $74,999",2040,890,920,170,710
13126,"$75,000 -  $99,999",1470,390,970,80,530
13126,"$100,000 - $199,999",1900,260,1570,70,640
13126,"$200,000+",430,40,380,** ,140
,,,,,,
13131,total,"1,740",790,670,260,410
13131,"< $25,000",600,390,100,100,140
13131,"$25,000 - $49,999",460,240,110,110,100
13131,"$50,000 - $74,999",300,120,140,50,70
13131,"$75,000 -  $99,999",170,40,130,** ,50
13131,"$100,000 - $199,999",190,** ,170,** ,50
13131,"$200,000+",20,** ,20,** ,** 
,,,,,,
13132,total,"1,940",900,760,240,510
13132,"< $25,000",640,460,90,90,130
13132,"$25,000 - $49,999",500,260,120,100,110
13132,"$50,000 - $74,999",300,130,120,50,90
13132,"$75,000 -  $99,999",210,50,160,** ,70
13132,"$100,000 - $199,999",260,** ,240,** ,110
13132,"$200,000+",30,0,30,0,** 
,,,,,,
13135,total,"3,070","1,430","1,250",360,780
13135,"< $25,000",1060,760,140,150,230
13135,"$25,000 - $49,999",750,400,200,130,160
13135,"$50,000 - $74,999",470,180,250,40,160
13135,"$75,000 -  $99,999",320,60,230,40,100
13135,"$100,000 - $199,999",390,30,360,** ,110
13135,"$200,000+",80,** ,70,** ,20
,,,,,,
13136,total,190,100,80,20,60
13136,"< $25,000",80,50,20,20,30
13136,"$25,000 - $49,999",50,30,40,** ,30
13136,"$50,000 - $74,999",30,20,** ,** ,** 
13136,"$75,000 -  $99,999",30,** ,20,** ,** 
13136,"$100,000 - $199,999",** ,** ,** ,** ,** 
13136,"$200,000+",** ,** ,** ,** ,** 
,,,,,,
13140,total,"1,980",870,780,280,500
13140,"< $25,000",720,470,110,130,170
13140,"$25,000 - $49,999",570,260,180,100,130
13140,"$50,000 - $74,999",310,100,160,50,80
13140,"$75,000 -  $99,999",200,40,160,** ,70
13140,"$100,000 - $199,999",180,** ,170,** ,50
13140,"$200,000+",** ,** ,** ,** ,** 
,,,,,,
13141,total,330,170,120,30,90
13141,"< $25,000",120,90,20,30,30
13141,"$25,000 - $49,999",90,50,50,** ,30
13141,"$50,000 - $74,999",50,30,** ,** ,30
13141,"$75,000 -  $99,999",30,** ,20,** ,** 
13141,"$100,000 - $199,999",40,** ,30,** ,** 
13141,"$200,000+",** ,** ,** ,** ,** 
,,,,,,
13142,total,"2,840","1,240","1,160",360,780
13142,"< $25,000",1030,710,150,150,270
13142,"$25,000 - $49,999",650,300,210,120,160
13142,"$50,000 - $74,999",440,140,230,50,130
13142,"$75,000 -  $99,999",310,50,220,40,110
13142,"$100,000 - $199,999",340,40,290,** ,110
13142,"$200,000+",70,** ,60,** ,** 
,,,,,,
13143,total,"1,160",510,490,140,300
13143,"< $25,000",430,290,70,60,100
13143,"$25,000 - $49,999",300,130,100,60,70
13143,"$50,000 - $74,999",180,60,100,20,60
13143,"$75,000 -  $99,999",120,30,90,** ,30
13143,"$100,000 - $199,999",130,** ,130,** ,40
13143,"$200,000+",** ,** ,** ,** ,** 
,,,,,,
13144,total,540,230,230,80,150
13144,"< $25,000",210,130,40,40,50
13144,"$25,000 - $49,999",150,70,50,40,50
13144,"$50,000 - $74,999",80,30,60,** ,20
13144,"$75,000 -  $99,999",50,** ,40,** ,30
13144,"$100,000 - $199,999",50,** ,40,** ,** 
13144,"$200,000+",** ,** ,** ,** ,** 
,,,,,,
13145,total,840,390,330,110,250
13145,"< $25,000",320,200,50,60,90
13145,"$25,000 - $49,999",200,110,60,50,60
13145,"$50,000 - $74,999",130,50,60,** ,40
13145,"$75,000 -  $99,999",90,30,70,** ,30
13145,"$100,000 - $199,999",100,** ,90,** ,30
13145,"$200,000+",** ,** ,** ,** ,** 
,,,,,,
13146,total,890,380,390,100,250
13146,"< $25,000",340,220,70,50,80
13146,"$25,000 - $49,999",240,110,80,50,80
13146,"$50,000 - $74,999",160,50,110,** ,40
13146,"$75,000 -  $99,999",80,** ,70,** ,20
13146,"$100,000 - $199,999",70,** ,60,0,30
13146,"$200,000+",** ,** ,** ,** ,** 
,,,,,,
13147,total,490,220,210,50,150
13147,"< $25,000",150,110,30,** ,40
13147,"$25,000 - $49,999",140,70,40,50,30
13147,"$50,000 - $74,999",80,40,40,** ,50
13147,"$75,000 -  $99,999",60,** ,40,** ,** 
13147,"$100,000 - $199,999",60,** ,60,** ,30
13147,"$200,000+",** ,** ,** ,** ,** 
,,,,,,
13148,total,"4,980","2,510","1,800",580,"1,430"
13148,"< $25,000",1860,1340,220,270,440
13148,"$25,000 - $49,999",1290,730,320,200,340
13148,"$50,000 - $74,999",720,280,340,80,230
13148,"$75,000 -  $99,999",440,90,320,30,170
13148,"$100,000 - $199,999",580,70,510,** ,220
13148,"$200,000+",90,** ,90,0,30
,,,,,,
13152,total,"4,120","1,830","1,950",250,"1,590"
13152,"< $25,000",1110,920,110,60,280
13152,"$25,000 - $49,999",630,370,170,70,250
13152,"$50,000 - $74,999",540,250,220,50,240
13152,"$75,000 -  $99,999",420,120,270,20,200
13152,"$100,000 - $199,999",840,110,680,50,380
13152,"$200,000+",580,60,500,** ,240
,,,,,,
13155,total,280,120,120,40,70
13155,"< $25,000",90,60,20,** ,40
13155,"$25,000 - $49,999",90,60,30,40,** 
13155,"$50,000 - $74,999",40,** ,20,** ,30
13155,"$75,000 -  $99,999",30,** ,20,** ,** 
13155,"$100,000 - $199,999",30,** ,30,0,** 
13155,"$200,000+",** ,** ,** ,** ,** 
,,,,,,
13156,total,810,350,380,70,240
13156,"< $25,000",250,180,50,30,70
13156,"$25,000 - $49,999",180,90,60,20,50
13156,"$50,000 - $74,999",140,40,80,20,40
13156,"$75,000 -  $99,999",110,40,80,** ,30
13156,"$100,000 - $199,999",130,** ,110,** ,50
13156,"$200,000+",** ,** ,** ,** ,** 
,,,,,,
13158,total,650,290,250,80,160
13158,"< $25,000",230,160,40,30,60
13158,"$25,000 - $49,999",190,90,50,50,30
13158,"$50,000 - $74,999",110,40,60,** ,30
13158,"$75,000 -  $99,999",60,** ,50,** ,40
13158,"$100,000 - $199,999",60,** ,50,0,** 
13158,"$200,000+",** ,** ,** ,** ,** 
,,,,,,
13159,total,"2,580","1,180","1,130",210,780
13159,"< $25,000",730,590,70,60,160
13159,"$25,000 - $49,999",570,330,130,80,160
13159,"$50,000 - $74,999",360,150,160,40,120
13159,"$75,000 -  $99,999",290,60,220,30,120
13159,"$100,000 - $199,999",490,50,430,** ,170
13159,"$200,000+",140,** ,120,** ,50
,,,,,,
13160,total,950,440,390,110,300
13160,"< $25,000",280,210,40,30,70
13160,"$25,000 - $49,999",260,140,70,50,70
13160,"$50,000 - $74,999",170,60,90,30,60
13160,"$75,000 -  $99,999",100,30,70,** ,50
13160,"$100,000 - $199,999",120,** ,100,** ,50
13160,"$200,000+",20,** ,20,0,** 
,,,,,,
13164,total,"1,280",530,610,110,280
13164,"< $25,000",390,290,50,40,80
13164,"$25,000 - $49,999",240,130,70,50,60
13164,"$50,000 - $74,999",180,80,80,** ,50
13164,"$75,000 -  $99,999",150,30,110,20,40
13164,"$100,000 - $199,999",280,** ,260,** ,50
13164,"$200,000+",40,** ,40,0,** 
,,,,,,
13165,total,"5,050","2,490","1,780",690,"1,400"
13165,"< $25,000",2000,1410,260,320,530
13165,"$25,000 - $49,999",1370,720,350,260,310
13165,"$50,000 - $74,999",780,270,410,80,260
13165,"$75,000 -  $99,999",430,60,340,30,140
13165,"$100,000 - $199,999",420,30,380,** ,160
13165,"$200,000+",50,** ,40,** ,** 
,,,,,,
13166,total,"2,580","1,210","1,010",310,700
13166,"< $25,000",840,600,120,120,210
13166,"$25,000 - $49,999",710,370,180,140,180
13166,"$50,000 - $74,999",420,160,210,50,130
13166,"$75,000 -  $99,999",280,80,200,** ,90
13166,"$100,000 - $199,999",300,** ,280,** ,90
13166,"$200,000+",30,** ,20,** ,** 
,,,,,,
13167,total,"1,630",740,650,190,380
13167,"< $25,000",550,380,80,70,120
13167,"$25,000 - $49,999",440,220,120,80,90
13167,"$50,000 - $74,999",250,90,130,40,70
13167,"$75,000 -  $99,999",160,30,110,** ,50
13167,"$100,000 - $199,999",210,20,190,** ,50
13167,"$200,000+",20,** ,20,** ,** 
,,,,,,
13202,total,"1,980","1,220",230,500,200
13202,"< $25,000",1040,610,40,390,80
13202,"$25,000 - $49,999",430,280,50,110,40
13202,"$50,000 - $74,999",230,180,30,** ,30
13202,"$75,000 -  $99,999",90,60,20,** ,** 
13202,"$100,000 - $199,999",110,50,50,** ,30
13202,"$200,000+",80,40,40,** ,20
,,,,,,
13203,total,"6,420","3,640","1,330","1,370","1,160"
13203,"< $25,000",3280,2070,350,830,420
13203,"$25,000 - $49,999",1820,1000,360,420,270
13203,"$50,000 - $74,999",640,360,180,90,170
13203,"$75,000 -  $99,999",250,100,130,30,100
13203,"$100,000 - $199,999",310,110,210,** ,150
13203,"$200,000+",120,** ,100,** ,50
,,,,,,
13204,total,"7,940","4,660",950,"2,210",940
13204,"< $25,000",4210,2470,230,1470,410
13204,"$25,000 - $49,999",2360,1440,260,610,260
13204,"$50,000 - $74,999",790,490,190,100,130
13204,"$75,000 -  $99,999",310,160,120,30,70
13204,"$100,000 - $199,999",220,100,120,** ,70
13204,"$200,000+",50,** ,30,0,** 
,,,,,,
13205,total,"7,110","3,750","1,170","2,040","1,530"
13205,"< $25,000",3730,2260,240,1180,620
13205,"$25,000 - $49,999",2030,1020,270,670,420
13205,"$50,000 - $74,999",740,340,240,140,240
13205,"$75,000 -  $99,999",330,90,200,50,130
13205,"$100,000 - $199,999",250,40,200,** ,120
13205,"$200,000+",30,** ,20,0,** 
,,,,,,
13206,total,"8,360","4,920","1,780","1,470","1,810"
13206,"< $25,000",3370,2380,240,700,640
13206,"$25,000 - $49,999",2810,1710,410,590,520
13206,"$50,000 - $74,999",1120,560,390,140,310
13206,"$75,000 -  $99,999",580,190,350,40,160
13206,"$100,000 - $199,999",440,80,360,** ,180
13206,"$200,000+",40,** ,30,** ,** 
,,,,,,
13207,total,"5,980","3,100","1,280","1,440","1,370"
13207,"< $25,000",2470,1560,140,730,400
13207,"$25,000 - $49,999",1740,920,250,520,350
13207,"$50,000 - $74,999",830,420,240,130,250
13207,"$75,000 -  $99,999",450,130,260,60,160
13207,"$100,000 - $199,999",400,70,310,** ,170
13207,"$200,000+",90,** ,80,** ,40
,,,,,,
13208,total,"9,380","4,810","2,170","2,270","1,550"
13208,"< $25,000",4940,2860,640,1410,650
13208,"$25,000 - $49,999",2790,1370,650,700,400
13208,"$50,000 - $74,999",960,410,390,130,260
13208,"$75,000 -  $99,999",410,120,270,30,140
13208,"$100,000 - $199,999",280,50,220,** ,100
13208,"$200,000+",** ,** ,** ,** ,** 
,,,,,,
13209,total,"6,850","3,620","2,160",950,"2,080"
13209,"< $25,000",2440,1760,290,370,630
13209,"$25,000 - $49,999",1970,1120,390,410,520
13209,"$50,000 - $74,999",1070,480,440,120,380
13209,"$75,000 -  $99,999",630,160,430,30,240
13209,"$100,000 - $199,999",660,100,550,20,270
13209,"$200,000+",80,** ,60,** ,40
,,,,,,
13210,total,"6,180","3,900","1,170",980,"1,070"
13210,"< $25,000",2990,2250,160,540,300
13210,"$25,000 - $49,999",1520,1000,190,290,230
13210,"$50,000 - $74,999",690,380,200,90,170
13210,"$75,000 -  $99,999",370,140,180,30,130
13210,"$100,000 - $199,999",490,110,350,30,190
13210,"$200,000+",120,20,90,** ,50
,,,,,,
13211,total,"3,290","1,830",820,560,680
13211,"< $25,000",1290,930,110,220,270
13211,"$25,000 - $49,999",1170,660,210,270,210
13211,"$50,000 - $74,999",500,180,240,70,120
13211,"$75,000 -  $99,999",210,60,160,** ,60
13211,"$100,000 - $199,999",120,** ,100,** ,20
13211,"$200,000+",** ,** ,** ,** ,** 
,,,,,,
13212,total,"10,650","5,670","3,410","1,310","3,040"
13212,"< $25,000",3440,2580,360,450,970
13212,"$25,000 - $49,999",3070,1850,570,540,780
13212,"$50,000 - $74,999",1860,850,730,220,530
13212,"$75,000 -  $99,999",1070,240,740,70,340
13212,"$100,000 - $199,999",1090,150,910,30,380
13212,"$200,000+",120,** ,100,** ,40
,,,,,,
13214,total,"3,750","1,880","1,320",430,"1,250"
13214,"< $25,000",1140,870,110,140,260
13214,"$25,000 - $49,999",750,450,140,130,210
13214,"$50,000 - $74,999",540,260,170,80,210
13214,"$75,000 -  $99,999",440,140,230,50,190
13214,"$100,000 - $199,999",720,140,540,30,300
13214,"$200,000+",160,20,130,** ,80
,,,,,,
13215,total,"7,260","3,410","3,240",460,"2,230"
13215,"< $25,000",2060,1780,160,90,440
13215,"$25,000 - $49,999",1280,810,270,170,380
13215,"$50,000 - $74,999",920,440,350,90,360
13215,"$75,000 -  $99,999",770,190,490,60,320
13215,"$100,000 - $199,999",1680,150,1470,50,570
13215,"$200,000+",550,40,500,** ,160
,,,,,,
13219,total,"8,270","4,350","3,000",760,"2,590"
13219,"< $25,000",2430,1990,230,180,690
13219,"$25,000 - $49,999",1980,1220,400,300,580
13219,"$50,000 - $74,999",1440,720,510,170,490
13219,"$75,000 -  $99,999",990,250,640,70,340
13219,"$100,000 - $199,999",1270,170,1070,40,430
13219,"$200,000+",160,** ,150,** ,60
,,,,,,
13224,total,"4,190","2,190","1,210",690,"1,290"
13224,"< $25,000",1530,1060,100,340,290
13224,"$25,000 - $49,999",970,580,130,230,200
13224,"$50,000 - $74,999",540,290,150,100,200
13224,"$75,000 -  $99,999",330,130,170,** ,160
13224,"$100,000 - $199,999",560,100,440,20,290
13224,"$200,000+",260,30,220,** ,150
,,,,,,
13302,total,660,300,250,90,160
13302,"< $25,000",290,180,50,50,50
13302,"$25,000 - $49,999",180,80,70,40,50
13302,"$50,000 - $74,999",90,40,50,** ,20
13302,"$75,000 -  $99,999",50,** ,40,** ,40
13302,"$100,000 - $199,999",50,** ,40,** ,** 
13302,"$200,000+",** ,** ,** ,** ,** 
,,,,,,
13303,total,570,260,270,40,140
13303,"< $25,000",170,110,40,** ,40
13303,"$25,000 - $49,999",140,80,50,40,30
13303,"$50,000 - $74,999",90,40,50,** ,40
13303,"$75,000 -  $99,999",70,30,50,** ,** 
13303,"$100,000 - $199,999",100,** ,80,0,30
13303,"$200,000+",** ,** ,** ,** ,** 
,,,,,,
13304,total,900,420,380,80,310
13304,"< $25,000",270,210,30,30,60
13304,"$25,000 - $49,999",190,110,50,30,60
13304,"$50,000 - $74,999",130,50,60,20,50
13304,"$75,000 -  $99,999",80,20,50,** ,40
13304,"$100,000 - $199,999",180,30,150,** ,70
13304,"$200,000+",50,** ,40,0,30
,,,,,,
13308,total,"1,550",680,620,200,390
13308,"< $25,000",550,360,90,90,120
13308,"$25,000 - $49,999",440,200,140,80,110
13308,"$50,000 - $74,999",250,80,140,30,70
13308,"$75,000 -  $99,999",150,40,110,** ,40
13308,"$100,000 - $199,999",160,** ,140,** ,50
13308,"$200,000+",** ,** ,** ,** ,** 
,,,,,,
13309,total,"2,640","1,210","1,080",290,720
13309,"< $25,000",960,670,150,110,260
13309,"$25,000 - $49,999",690,350,210,120,160
13309,"$50,000 - $74,999",430,140,240,40,130
13309,"$75,000 -  $99,999",270,50,210,20,70
13309,"$100,000 - $199,999",260,** ,240,** ,100
13309,"$200,000+",30,** ,30,** ,** 
,,,,,,
13310,total,300,140,130,40,90
13310,"< $25,000",120,80,20,40,30
13310,"$25,000 - $49,999",80,60,30,** ,40
13310,"$50,000 - $74,999",40,** ,30,** ,** 
13310,"$75,000 -  $99,999",30,** ,20,** ,20
13310,"$100,000 - $199,999",30,** ,30,** ,** 
13310,"$200,000+",** ,** ,** ,** ,** 
,,,,,,
13314,total,200,90,80,30,60
13314,"< $25,000",70,50,30,30,30
13314,"$25,000 - $49,999",60,40,** ,** ,** 
13314,"$50,000 - $74,999",30,** ,20,** ,30
13314,"$75,000 -  $99,999",40,** ,30,** ,** 
13314,"$100,000 - $199,999",** ,** ,** ,** ,** 
13314,"$200,000+",** ,** ,** ,** ,** 
,,,,,,
13315,total,610,270,260,50,170
13315,"< $25,000",220,150,40,20,50
13315,"$25,000 - $49,999",170,90,60,30,50
13315,"$50,000 - $74,999",80,30,50,** ,30
13315,"$75,000 -  $99,999",70,** ,50,** ,40
13315,"$100,000 - $199,999",70,** ,60,** ,** 
13315,"$200,000+",** ,** ,** ,** ,** 
,,,,,,
13316,total,"2,830","1,260","1,150",380,740
13316,"< $25,000",960,640,150,160,220
13316,"$25,000 - $49,999",840,430,250,150,180
13316,"$50,000 - $74,999",450,130,260,50,150
13316,"$75,000 -  $99,999",270,60,210,20,100
13316,"$100,000 - $199,999",280,** ,260,** ,90
13316,"$200,000+",30,0,20,** ,** 
,,,,,,
13317,total,"1,670",760,680,210,480
