,"ZIP
code",Adjusted Gross Income,Number of returns,Single Returns,Joint Returns,Head of Household Returns,Elderly Returns (60+)
158,10022.0,"$200,000+",6470,2300,3730,180,2470
159,,,,,,,
160,10023.0,total,"34,400","21,760","9,810","1,670","10,330"
161,10023.0,"< $25,000",5790,4830,370,380,1720
162,10023.0,"$25,000 - $49,999",3730,2910,350,350,1060
163,10023.0,"$50,000 - $74,999",3640,2910,360,220,1090
164,10023.0,"$75,000 -  $99,999",3250,2540,440,140,1030
165,10023.0,"$100,000 - $199,999",7690,5170,1980,270,2520
166,10023.0,"$200,000+",10300,3400,6310,310,2910
167,,,,,,,
168,10024.0,total,"30,540","18,220","9,780","1,630","9,170"
169,10024.0,"< $25,000",5520,4720,320,340,1510
170,10024.0,"$25,000 - $49,999",3470,2760,280,310,930
171,10024.0,"$50,000 - $74,999",3530,2770,390,230,960
172,10024.0,"$75,000 -  $99,999",2810,2080,460,160,880
173,10024.0,"$100,000 - $199,999",6190,3670,2030,270,2100
174,10024.0,"$200,000+",9020,2220,6300,320,2790
175,,,,,,,
176,10025.0,total,"45,880","28,250","11,590","4,760","13,030"
177,10025.0,"< $25,000",12180,9740,720,1460,2850
178,10025.0,"$25,000 - $49,999",7670,5490,650,1310,1730
179,10025.0,"$50,000 - $74,999",6150,4400,760,760,1630
180,10025.0,"$75,000 -  $99,999",4220,2890,800,390,1360
181,10025.0,"$100,000 - $199,999",7660,4030,2850,500,2890
182,10025.0,"$200,000+",8000,1700,5810,340,2570
183,,,,,,,
184,10026.0,total,"18,370","10,940","2,730","4,200","2,450"
185,10026.0,"< $25,000",6760,4570,380,1690,1030
186,10026.0,"$25,000 - $49,999",4410,2600,390,1300,510
187,10026.0,"$50,000 - $74,999",2620,1630,260,630,320
188,10026.0,"$75,000 -  $99,999",1440,880,220,270,200
189,10026.0,"$100,000 - $199,999",2020,990,720,240,270
190,10026.0,"$200,000+",1120,270,760,70,120
191,,,,,,,
192,10027.0,total,"27,760","16,980","4,180","6,000","4,220"
193,10027.0,"< $25,000",11270,7830,710,2570,1550
194,10027.0,"$25,000 - $49,999",6670,4040,600,1900,820
195,10027.0,"$50,000 - $74,999",3680,2270,440,840,550
196,10027.0,"$75,000 -  $99,999",1900,1150,370,320,340
197,10027.0,"$100,000 - $199,999",2630,1290,960,290,540
198,10027.0,"$200,000+",1610,400,1100,80,420
199,,,,,,,
200,10028.0,total,"25,540","16,600","7,230",910,"7,010"
201,10028.0,"< $25,000",3940,3480,220,120,1060
202,10028.0,"$25,000 - $49,999",2870,2430,240,100,630
203,10028.0,"$50,000 - $74,999",3540,3040,260,120,680
204,10028.0,"$75,000 -  $99,999",2980,2430,330,120,650
205,10028.0,"$100,000 - $199,999",5480,3620,1460,210,1670
